Kernel,Gamma,C,Degree,Val Accuracy,Time Taken (s)
linear,auto,100.0,3,77.92208,0.05
linear,auto,10.0,3,77.92208,0.01
linear,auto,1.0,3,77.92208,0.005
linear,auto,0.1,3,77.92208,0.004
linear,scale,100.0,3,77.92208,0.045
linear,scale,10.0,3,77.92208,0.01
linear,scale,1.0,3,77.92208,0.005
linear,scale,0.1,3,77.92208,0.004
poly,auto,100.0,4,70.12987,41.923
poly,auto,100.0,3,76.62338,2.396
poly,auto,100.0,2,70.12987,0.116
poly,auto,100.0,1,77.92208,0.028
poly,auto,100.0,0,70.12987,0.004
poly,auto,10.0,5,74.02597,3.138
poly,auto,10.0,4,70.12987,20.273
poly,auto,10.0,3,76.62338,0.352
poly,auto,10.0,2,70.12987,0.022
poly,auto,10.0,1,77.92208,0.009
poly,auto,10.0,0,70.12987,0.004
poly,auto,1.0,6,71.42857,4.314
poly,auto,1.0,5,74.02597,0.362
poly,auto,1.0,4,70.12987,0.193
poly,auto,1.0,3,76.62338,0.015
poly,auto,1.0,2,70.12987,0.007
poly,auto,1.0,1,77.92208,0.005
poly,auto,1.0,0,70.12987,0.004
poly,auto,0.1,6,71.42857,0.656
poly,auto,0.1,5,74.02597,0.088
poly,auto,0.1,4,70.12987,0.021
poly,auto,0.1,3,76.62338,0.007
poly,auto,0.1,2,70.12987,0.005
poly,auto,0.1,1,77.92208,0.004
poly,auto,0.1,0,70.12987,0.004
poly,scale,100.0,4,70.12987,27.653
poly,scale,100.0,3,76.62338,0.534
poly,scale,100.0,2,70.12987,0.079
poly,scale,100.0,1,77.92208,0.024
poly,scale,100.0,0,70.12987,0.004
poly,scale,10.0,5,74.02597,2.12
poly,scale,10.0,4,70.12987,2.281
poly,scale,10.0,3,76.62338,0.037
poly,scale,10.0,2,70.12987,0.015
poly,scale,10.0,1,77.92208,0.01
poly,scale,10.0,0,70.12987,0.004
poly,scale,1.0,6,71.42857,1.485
poly,scale,1.0,5,74.02597,0.215
poly,scale,1.0,4,70.12987,0.055
poly,scale,1.0,3,76.62338,0.011
poly,scale,1.0,2,70.12987,0.006
poly,scale,1.0,1,77.92208,0.005
poly,scale,1.0,0,70.12987,0.004
poly,scale,0.1,6,71.42857,0.267
poly,scale,0.1,5,74.02597,0.026
poly,scale,0.1,4,70.12987,0.01
poly,scale,0.1,3,76.62338,0.006
poly,scale,0.1,2,70.12987,0.006
poly,scale,0.1,1,76.62338,0.004
poly,scale,0.1,0,70.12987,0.004
rbf,auto,100.0,3,76.62338,0.035
rbf,auto,10.0,3,77.92208,0.011
rbf,auto,1.0,3,76.62338,0.008
rbf,auto,0.1,3,77.92208,0.008
rbf,scale,100.0,3,77.92208,0.029
rbf,scale,10.0,3,77.92208,0.013
rbf,scale,1.0,3,76.62338,0.008
rbf,scale,0.1,3,79.22078,0.008
sigmoid,auto,100.0,3,66.23377,0.007
sigmoid,auto,10.0,3,66.23377,0.008
sigmoid,auto,1.0,3,66.23377,0.009
sigmoid,auto,0.1,3,76.62338,0.01
sigmoid,scale,100.0,3,71.42857,0.007
sigmoid,scale,10.0,3,71.42857,0.007
sigmoid,scale,1.0,3,64.93506,0.01
sigmoid,scale,0.1,3,75.32468,0.011
